title;published_date;author;description;price;weeks_on_list
THE BORDER;2019-03-17;Don Winslow;The third book in the Power of the Dog series. Art Keller’s fight to keep drugs out of the country has taken a complicated turn.;nan;1
THE BOURNE DECEPTION;2010-06-27;Eric Van Lustbader;Robert Ludlum’s character Jason Bourne helps to avert a possible world war.;9.99;3
THE BOY IN THE STRIPED PAJAMAS;2019-11-03;John Boyne;nan;nan;0
THE BOY IN THE SUITCASE;2013-09-01;Lene Kaaberbol;A nurse makes a shocking discovery: a naked and drugged boy hidden in a locker at the Copenhagen train station.;nan;6
THE BOY ON THE WOODEN BOX;2014-01-19;Leon Leyson with Marilyn J Harran and Elisabeth B Leyson;"A memoir by one of the members of Oskar Schindler's ""list.""";nan;1
THE BOY, THE MOLE, THE FOX AND THE HORSE;2019-12-01;Charlie Mackesy;nan;nan;6
THE BOYS IN THE BOAT;2014-06-15;Daniel James Brown;The University of Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.;nan;137
THE BOYS, VOL. 9;2011-12-11;Garth Ennis and others;The Boys work with the C.I.A. to make sure super-heroes stay in line. In this volume, learn more about how the team came together.;24.99;1
THE BRAIN FOG FIX;2015-11-01;Mike Dow;Methods for reclaiming focus and memory.;nan;0
THE BRIDGE;2010-04-25;David Remnick;A biography of Barack Obama before he became president, by the editor of The New Yorker.;29.95;1
THE BRIDGE LADIES;2016-06-05;Betsy Lerner;A fifty-year-old Monday night Bridge club is more than a card game | it is a kindred cohesive community that explores marriage, career, motherhood, depression, aging, death, religion and sex.;nan;0
THE BRIGADE;2015-02-01;Howard Blum;Clandestine operations conducted in 1944 by the Jewish Brigade Group using intelligence reports to pinpoint the location of former SS officers and camp guards.;nan;0
THE BRITISH ARE COMING;2019-06-02;Rick Atkinson;The Pulitzer Prize-winning historian and journalist begins his Revolution Trilogy with events from 1775 to 1777.;nan;1
THE BROKEN EYE;2014-09-14;Brent Weeks;A fantasy sequel to “The Black Prism” and “The Blinding Knife.” ;nan;1
THE BROKEN WAY;2016-11-13;Ann Voskamp;nan;nan;2
THE BULLY PULPIT;2013-11-24;Doris Kearns Goodwin;The relationship between Theodore Roosevelt and William Howard Taft and the activities of the muckraking press, from the author of “Team of Rivals.”;nan;8
THE BURGESS BOYS;2013-04-14;Elizabeth Strout;Two brothers, both lawyers, come together in a small Maine town to defend their good-for-nothing nephew | by the Pulitzer Prize-winning author of “Olive Kitteridge.” ;26.0;3
THE BURIAL HOUR;2017-04-30;Jeffery Deaver;Lincoln Rhyme travels to Italy to investigate a case.;nan;1
THE BURIED GIANT;2015-03-22;Kazuo Ishiguro;In a semi-historical ancient Britain, an elderly couple set out in search of their son.;nan;2
THE BURNING LAND;2010-02-07;Bernard Cornwell;In the fifth of the Saxon Tales, the ninth-century Saxon warrior Uhtred breaks with King Alfred, but eventually returns to help fight the Danes.;25.99;1
THE BURNING ROOM;2014-11-23;Michael Connelly;The Los Angeles detective Harry Bosch and his new partner investigate two long-unsolved cases.;nan;7
THE BURNING WHITE;2019-11-10;Brent Weeks;The fifth book in the Lightbringer series. When Chromeria is threatened, Kip Guile pulls forces together for one last fight.;nan;1
THE CABIN;2016-12-18;Natasha Preston;nan;nan;12
THE CAGE;2016-05-29;Megan Shepherd;nan;nan;1
THE CALL OF SEDONA;2012-02-26;Ilchi Lee;Lee shares meditations from his experiences in Sedona, Ariz.;16.95;2
THE CALLING;2012-04-29;Kelley Armstrong;Friends face the wilderness | Book 2 of Darkness Rising.;17.99;1
THE CAN'T COOK BOOK;2013-11-03;Jessica Seinfeld;Recipes for those who fear or avoid the kitchen.;nan;0
THE CAPTURE OF THE EARL OF GLENCRAE;2012-02-19;Stephanie Laurens;To save his castle and his clan, the eighth Earl of Glencrae has no choice but to kidnap the headstrong Angelica Cynster.;7.99;2
THE CARB LOVERS DIET;2010-08-22;Ellen Kunes and Frances Largeman-Roth;A weight-loss plan with bread, pasta and potatoes.;24.95;9
THE CARE AND KEEPING OF YOU;2013-03-31;Valorie Schaefer;Advice on the changing body for younger girls. ;nan;91
THE CARE AND KEEPING OF YOU 2;2013-03-24;Cara Natterson;Advice to guide girls through the next steps of growing up. ;nan;21
THE CARRIE DIARIES;2010-05-16;Candace Bushnell;Carrie Bradshaw, years before “Sex and the City.”;18.99;4
THE CASE FOR TRUMP;2019-03-24;Victor Davis Hanson;A defense stating that the current president adopted several traditional conservative positions.;nan;1
THE CASE OF BEASTS;2016-12-04;Mark Salisbury;Filmmaking secrets, photography and artwork from “Fantastic Beasts and Where to Find Them,” written by J. K. Rowling.;nan;1
THE CAST;2018-06-03;Danielle Steel;A magazine columnist meets an array of Hollywood professionals when a producer turns a story about her grandmother into a TV series.;nan;2
THE CASUAL VACANCY;2012-10-14;J K Rowling;The sudden death of a parish councilman reveals bitter social divisions in an idyllic English town | the author’s first novel for adults.;35.0;14
THE CELLAR;2016-07-31;Natasha Preston;nan;nan;13
THE CEO NEXT DOOR;2018-04-01;Elena L Botelho and Kim R Powell with Tahl Raz;nan;nan;0
THE CHANCE;2014-03-16;Ron Carr;There’s an obvious attraction between two newcomers to Thunder Point, Ore., but their differences may run too deep.;nan;2
THE CHASE;2014-03-16;Janet Evanovich and Lee Goldberg;Nicolas Fox (a handsome con man) and Kate O’Hare (an F.B.I. agent) team up to steal back a Chinese artifact taken from the Smithsonian.;nan;2
THE CHECKLIST MANIFESTO;2010-01-24;Atul Gawande;Following checklists makes surgery safer and other activities more efficient, a doctor argues.;24.5;1
THE CHEF;2019-03-10;James Patterson and Max DiLallo;Caleb Rooney, a police detective and celebrity food truck chef, must clear his name of murder allegations.;nan;3
THE CHEMIST;2016-11-27;Stephenie Meyer;A specialist in chemically controlled torture, on the run from her former employers, takes on one last job — pursuing a man with whom she joins forces. By the author of the Twilight series.;nan;1
THE CHEW;2012-10-14;"the staff of ""The Chew""";A recipe companion to the ABC show.;19.99;13
THE CHEW -- WHAT'S FOR DINNER?;2013-10-06;the staff of “The Chew”;Quick, easy weeknight recipes from the hosts of the television show.;nan;1
THE CHILDREN ACT;2014-09-28;Ian McEwan;A judge wrestles with a challenging case and a crisis in her marriage. ;nan;1
THE CHOICE;2016-01-10;Nicholas Sparks;How a North Carolina man's decisions about love and death play out in his life.;nan;25
THE CHOSEN;2017-04-23;J R Ward;Book 15 of the Black Dagger Brotherhood series.;nan;1
THE CHRISTMAS SWEATER;2010-01-03;Glenn Beck with Kevin Balfe and Jason Wright;Seeking the meaning of Christmas.;17.99;10
THE CHRISTMAS WEDDING;2011-11-06;James Patterson and Richard DiLallo;A widow keeps the identity of the new man she is about to marry a secret as her children gather for Christmas.;25.99;4
THE CHRISTMAS WISH;2013-12-08;Lori Evert;Anja sets out to find Santa, and is assisted along the way by her animal friends.;nan;2
THE CINDERELLA MURDER;2014-12-07;Mary Higgins Clark and Alafair Burke;A TV producer plans a show about a cold case — the murder of a U.C.L.A. student who was found with one shoe missing.;nan;5
THE CITY;2014-07-20;Dean Koontz;A musician, part of a famous family, looks back over the events of his life, beginning during his childhood in the 1960s.;nan;1
THE CITY OF MIRRORS;2016-06-12;Justin Cronin;In the conclusion to the trilogy that included “The Passage” and “The Twelve,” the virals bent on destroying humanity seem to have been vanquished, only to rise again.;nan;1
THE CLEAN 20;2018-04-29;Ian K Smith;nan;nan;3
THE CLEAN PLATE;2019-01-27;Gwyneth Paltrow;nan;nan;1
THE CLIQUE;2010-03-28;Lisi Harrison;The lives and loves of the popular kids at an elite prep school.;nan;16
THE CLOCKMAKER'S DAUGHTER;2018-10-28;Kate Morton;A century-old mystery at the Birchwood Manor on the Thames connects the lives of an archivist and artist.;nan;1
THE CLOSER;2014-05-25;Mariano Rivera with Wayne Coffey;A memoir by the great Yankees pitcher. ;nan;6
THE COBRA;2010-09-05;Frederick Forsyth;A former C.I.A. operative is unleashed on the cocaine industry.;26.95;1
THE CODE OF THE EXTRAORDINARY MIND;2016-06-05;Vishen Lakhiani;nan;nan;0
THE COINCIDENCE OF CALLIE AND KAYDEN;2013-01-06;Jessica Sorensen;A boy and girl, both of whom have tragedy in their past, come together after a chance encounter in college.;nan;4
THE COLLAPSE OF PARENTING;2016-03-06;Leonard Sax;The developmental harm done to children by treating them as adults too soon.;nan;0
THE COLLECTED SCHIZOPHRENIAS;2019-02-24;Esmé Weijun Wang;Essays on the author's diagnosis of schizoaffective disorder and disagreements within the medical community.;nan;2
THE COLLECTOR;2014-05-04;Nora Roberts;A freelance writer who may have witnessed a murder-suicide joins the dead man’s brother to learn what happened.;nan;4
THE COLOR OF LAW;2018-05-20;Richard Rothstein;A case for how the American government abetted racial segregation in metropolitan areas across the country.;nan;3
THE COLOSSUS RISES;2013-02-24;Peter Lerangis;Jack, 13, will die unless he recovers the lost magic Loculi | first book in the Seven Wonders series.;nan;2
THE COLUMBUS AFFAIR;2012-06-03;Steve Berry;The daughter of a disgraced journalist is held by a man who wants to force her father to help him discover a secret left by Columbus.;27.0;4
THE COMIC BOOK STORY OF BEER;2015-10-11;Jonathan Hennessey, Mike Smith and Aaron McConnell;This book stretches from 7000 BC to the modern day to explore the history of beer.;nan;1
THE COMING ECONOMIC ARMAGEDDON;2010-10-24;David Jeremiah;What biblical prophecy warns about the new global economy.;23.99;2
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;2019-12-01;America's Test Kitchen Kids;One hundred plus kid-tested baking recipes.;nan;6
THE COMPLETE CALVIN AND HOBBES;2012-12-02;Bill Watterson;Enjoy all the antics of Calvin and his stuffed tiger Hobbes in one deluxe collection.;100.0;14
THE COMPLETE COOKBOOK FOR YOUNG CHEFS;2018-11-04;America's Test Kitchen Kids;Over 100 kid-tested recipes from America's Test Kitchen.;nan;35
THE COMPLETE EIGHTBALL 1-18;2015-07-05;Daniel Clowes;"This collection features some of the author’s most popular stories, including “Ghost World” and “Art School Confidential,"" and other material originally printed from 1989 to 1997.";nan;2
THE COMPLETE EMILY THE STRANGE;2016-09-18;Rob Reger, Buzz Parker and others;All of Emily’s darkly humorous observations about life are collected here.;nan;1
THE COMPLETE MAUS, A SURVIVOR'S TALE;2012-08-19;Art Spiegelman;The author tells the story of his father, a Holocaust survivor, in a critically-acclaimed tale where Jewish people are mice and Germans are cats.;35.0;3
THE COMPLETE PEANUTS: 1987-1988;2013-04-21;Charles M Schulz;The 19th volume of this series of chronological reprints includes a visit from Spike, Sally trying her hand at writing a play and young romance.;28.99;1
THE COMPLETE PEANUTS: 1991-1992;2014-06-08;Charles M Schulz;The final decade of the “Peanuts” newspaper comic strip begins here in the 21st volume of chronological reprints.;nan;1
THE COMPLETE PEANUTS: 1991-1994;2014-11-16;Charles M Schulz;The final decade of the “Peanuts” newspaper comic strip begins with this boxed set.;nan;2
THE COMPLETE PEANUTS: 1999–2000;2016-05-29;Charles M Schulz;This volume includes the final year of the newspaper comic strip with a foreword written by President Obama.;nan;1
THE COMPLETE PERSEPOLIS;2011-07-17;Marjane Satrapi;This graphic-novel memoir chronicles the author’s life in Iran during its 1979 revolution and its war with Iraq.;24.95;27
THE COMPLETE VEGETARIAN COOKBOOK;2015-05-03;the staff of America's Test Kitchen;Seven hundred recipes for the meat-free fan.;nan;0
THE CONFESSION;2010-11-14;John Grisham;A man who committed a despicable crime but allowed another to be sent to death row in his place now wants to admit his guilt, but must convince the authorities he’s telling the truth.;28.95;11
THE CONFIDENCE CODE FOR GIRLS;2018-04-22;Katty Kay and Claire Shipman with Jillellyn Riley;A guidebook that helps empower girls.;nan;19
THE CONSCIOUS PARENT;2014-10-05;Shefali Tsabary;"How a parent can convert their child's perceived ""misbehavior"" into opportunities to explore and repair one's own fears and shortcomings.";nan;0
THE COPPER GAUNTLET;2015-09-20;Holly Black and Cassandra Clare;nan;nan;6
THE CORNWALLS ARE GONE;2019-04-14;James Patterson and Brendan DuBois;An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.;nan;3
THE COST OF THESE DREAMS;2019-04-21;Wright Thompson;A sportswriter goes beyond the public personas of sports icons to reveal the conflict between their skills and ability to enjoy them.;nan;1
THE COTTAGES ON SILVER BEACH;2018-07-08;RaeAnne Thayne;The eighth book in the Haven Point series. Elliot Bailey comes back into Megan Hamilton's life.;nan;1
THE COUPLE NEXT DOOR;2017-09-24;Shari Lapena;A couple’s secrets emerge after their baby disappears.;nan;15
THE COUPON MOM'S GUIDE TO CUTTING YOUR GROCERY BILLS IN HALF;2010-01-24;Stephanie Nelson;Bargain-hunting plans customized for various kinds of shoppers.;15.0;1
THE COURAGE TO ACT;2015-11-01;Ben S Bernanke;nan;nan;0
THE COURT AND THE WORLD;2015-10-04;Stephen Breyer;The Supreme Court justice explores the work of the court in an interconnected world.;nan;0
THE CRANK TRILOGY;2010-10-03;Ellen Hopkins;Chronicles of addiction.;nan;1
THE CRASH TRILOGY;2013-05-12;Nicole Williams;A bad boy quarterback and a ballerina continue their stormy relationship from high school to college. ;nan;1
THE CRAYONS' CHRISTMAS;2019-11-17;Drew Daywalt;Duncan’s crayons prepare for Christmas.;nan;9
THE CREED LEGACY;2011-07-17;Linda Lael Miller;Carolyn Simmons is looking for Mr. Right in Lonesome Bend | instead she falls for the rough-and-tumble rodeo cowboy Brody Creed, the opposite of everything she wants.;7.99;2
THE CROOKED STAIRCASE;2018-05-27;Dean Koontz;The rogue F.B.I. agent Jane Hawk is on the lam from the government and a secret group causing a rash of murder-suicides.;nan;1
THE CROSSING;2015-11-22;Michael Connelly;The retired detective Harry Bosch reluctantly agrees to help his half brother, a defense attorney, and his investigations lead him inside the L.A.P.D.;nan;5
THE CROSSOVER;2015-02-22;Kwame Alexander;The story of a hoops prodigy’s family, told in verse.;nan;29
THE CROWN ON YOUR HEAD;2011-11-20;Nancy Tillman;Each child’s crown, Tillman says, shows his unique value.;16.99;1
THE CROWN'S GAME;2016-06-05;Evelyn Skye;The winner of the tsar's competition will be appointed Imperial Enchanter | the loser faces death.;nan;1
THE CRUEL PRINCE;2018-01-21;Holly Black;Jude, a human raised by faeries, resolves to become a member of the High Court of Faerie.;nan;3
THE CUBAN AFFAIR;2017-10-08;Nelson DeMille;A Miami lawyer solicits an Army veteran to go on a secret mission to recover $60 million stashed away in Cuba.;nan;3
THE CUBS WAY;2017-04-16;Tom Verducci;The transformation of the Chicago Cubs under Theo Epstein and Joe Maddon and a celebration of their championship.;nan;1
THE CUCKOO'S CALLING;2013-08-04;Robert Galbraith;The struggling detective Cormoran Strike investigates a supermodel’s suicide | by J.K. Rowling, writing pseudonymously.;nan;12
THE CURIOUS GARDEN;2010-02-07;Peter Brown;A boy named Liam nurtures a straggly garden to vivid fruition.;16.99;20
THE CURSE OF BEAUTY;2016-08-07;James Bone;A biography of Audrey Munson, an actress of the early 20th century who was the model for various civic statues in Manhattan.;nan;0
THE CUTTHROAT;2017-04-02;Clive Cussler and Justin Scott;In 1911, searching for a young actress who has disappeared, the detective Isaac Bell discovers a serial killer.;nan;2
THE DAILY SHOW (THE BOOK);2016-12-04;Chris Smith;An oral history of the show, based on extensive interviews with Jon Stewart and others.;nan;1
THE DANGEROUS CASE OF DONALD TRUMP;2017-10-22;edited  Bandy X Lee;27 psychiatrists and mental health experts give their assessments of the president.;nan;1
THE DANIEL PLAN;2013-12-22;Rick Warren, Daniel Amen, Mark Hyman and others;nan;nan;8
THE DARK;2013-04-21;Lemony Snicket;Laszlo overcomes his fear.;16.99;3
THE DARK CRYSTAL;2012-02-12;Brian Holguin and Alex Sheikman;"This first volume of three original graphic novels explores the world created by Jim Henson in ""The Dark Crystal.""";19.95;2
THE DARK DESCENT OF ELIZABETH FRANKENSTEIN;2018-10-14;Kiersten White;How far will Elizabeth Lavenza go to protect Victor Frankenstein?;nan;1
THE DARK PROPHECY;2017-05-21;Rick Riordan;Lester, a.k.a. Apollo, summons the help of demigods to restore an Oracle and his rightful place on Olympus.;nan;25
THE DARK SIDE;2019-09-15;Danielle Steel;Painful childhood memories surface for Zoe Morgan when she has a child of her own.;nan;1
THE DARK-HUNTERS, V. 2;2010-03-21;Sherrilyn Kenyon and Claudia Campos;Is an accountant scarier than a vampire? Find out in this graphic novel adaptation of the best-selling “Dark-Hunters” novels, which have been described as a “paranormal romance series.”;9.99;1
THE DARKEST PART OF THE FOREST;2015-12-20;Holly Black;nan;nan;1
THE DARKEST SECRET;2011-04-17;Gena Showalter;Amun, a tormented immortal warrior, meets a demon-assassin whose beauty draws him into a reckless test of his loyalty.;7.99;1
THE DARKEST SEDUCTION;2012-03-18;Gena Showalter;A blood feud between ancient enemies could keep the immortal warrior Paris from the woman he craves above all others.;7.99;1
THE DARKEST TOUCH;2014-12-21;Gena Showalter;The immortal warrior Torin, whose touch causes sickness and death, is tempted by a powerful beauty who has escaped a centuries-long imprisonment | a Lords of the Underworld novel.;nan;2
THE DASH DIET ACTION PLAN;2012-01-22;Marla Heller;Steps to lower blood pressure and cholesterol without meds.;22.99;2
THE DASH DIET WEIGHT LOSS SOLUTION;2013-08-18;Marla Heller;nan;nan;1
THE DAY THE CRAYONS CAME HOME;2015-09-06;Drew Daywalt;A reunion of wayward colors.;nan;42
THE DAY THE CRAYONS QUIT;2013-07-14;Drew Daywalt;A colorful problem arises when Duncan's crayons revolt.;nan;288
THE DAY THE PRESIDENT WAS SHOT;2016-07-10;Bill O'Reilly;nan;nan;1
THE DAY YOU BEGIN;2018-09-16;Jacqueline Woodson;On the first day of school, outsiders embrace their differences.;nan;12
THE DEATH OF MRS. WESTAWAY;2018-06-17;Ruth Ware;A tarot card reader mistakenly receives an inheritance letter and attends the funeral of the deceased.;nan;3
THE DEATH OF SANTINI;2013-11-17;Pat Conroy;In this memoir, Conroy mourns the abusive father on whom “The Great Santini” was based.;nan;1
THE DEATH-RAY;2011-10-30;Daniel Clowes;What happens when a teenager with rage issues finds himself empowered? He becomes The Death-Ray.;19.95;1
THE DEMIGOD DIARIES;2012-09-02;Rick Riordan;Lore on the Heroes of Olympus and Percy Jackson books.;12.99;8
THE DESERTER;2019-11-10;Nelson DeMille and Alex DeMille;Two members of the Criminal Investigation Division must bring back a Delta Force soldier who disappeared.;nan;1
THE DEVIL COLONY;2011-07-10;James Rollins;The discovery of a lost colony reveals a conspiracy from the nation's founding | a Sigma Force novel.;27.99;1
THE DEVIL IN PEW NUMBER SEVEN;2012-07-22;Rebecca Nichols Alonzo with Bob DeMoss;When Alonzo was a child, her father, a North Carolina pastor, lost his life in one man’s campaign of terror to drive him from his church.;nan;4
THE DEVIL IN THE WHITE CITY;2012-11-11;Erik Larson;A story of how an architect and a serial killer were linked by the World’s Fair of 1893.;15.95;353
THE DEVIL IS A PART–TIMER, VOL. 2;2015-08-16;Satoshi Wagahara and Akio Hiiragi;After a humiliating defeat, the Devil is forced to assume a human identity. But even Satan himself has to eat and make ends meet! So, he takes a job at a fast food joint.;nan;2
THE DEVIL IS A PART–TIMER, VOL. 4;2016-05-08;Satoshi Wagahara and Oniku Staff;Things are so bad for the Devil, he cannot even keep his job at the fast food restaurant, so he looks for a summer gig on the beach.;nan;1
THE DEVIL'S CHESSBOARD;2015-11-01;David Talbot;Allen Dulles, the CIA and the rise of America's secret government.;nan;0
THE DEVIL'S TRIANGLE;2017-04-02;Catherine Coulter and J T Ellison;The F.B.I. special agent Nicholas Drummond and his partner, Michaela Caine, track evil twins who can control the weather.;nan;1
THE DEVIL’S PUNCHBOWL;2010-01-17;Greg Iles;The mayor of Natchez, Miss., pursues a killer who opposes his attempt to clean up riverboat gambling.;9.99;4
THE DICHOTOMY OF LEADERSHIP;2018-10-07;Jocko Willink and Leif Babin;Using combat and training experiences, former Navy SEALs explain some opposing forces in leading others. 10 hours, 34 minutes unabridged. Read by the authors.;nan;1
THE DIGEST DIET;2012-11-04;Liz Vaccariello;A 21-day plan gleaned from the latest in weight-loss science.;24.99;4
THE DISAPPEARED;2018-04-15;CJ Box;A Wyoming game warden teams up with his daughter to find a missing British businesswoman.;nan;2
THE DISAPPEARING SPOON;2013-07-14;Sam Kean;Stories of human interest and history connected with the elements of the periodic table. First published in 2010.;nan;1
THE DIVIDE;2014-05-04;Matt Taibbi;How economic inequality has created separate  systems of justice for the rich and poor.;nan;2
THE DIVINE;2015-08-02;Asaf Hanuka, Tomer Hanuka and Boaz Lavie;A former military officer accepts a lucrative, but dangerous assignment in the war–torn country of Quanlom, where magic and modern weapons co–exist.;nan;1
THE DOCTOR'S DIET;2014-01-26;Travis Stork;nan;nan;18
THE DOG LIVED (AND SO WILL I);2013-06-23;Teresa J Rhyne;Her beagle’s life-threatening illness prepared the author to face her own.;nan;3
THE DOGIST;2015-11-01;Elias Weiss Friedman;A photographic tribute featuring encounters with 1,000 dogs.;nan;0
THE DONALD J. TRUMP PRESIDENTIAL TWITTER LIBRARY;2018-08-19;The Daily Show With Trevor Noah;nan;nan;1
THE DOOMSDAY KEY;2010-06-27;James Rollins;Sigma Force operatives try to solve an ancient mystery that has deadly consequences.;9.99;3
THE DOUBLE COMFORT SAFARI CLUB;2010-05-09;Alexander McCall Smith;The 11th novel in the No. 1 Ladies’ Detective Agency series.;24.95;1
THE DRAGON'S RETURN;2016-02-14;Stan Lee and Stuart Moore;nan;nan;1
THE DREAM THIEVES;2013-10-06;Maggie Stiefvater;Ronan, one of the Raven boys, tries to understand his supernatural powers.;nan;1
THE DROP;2011-12-18;Michael Connelly;Harry Bosch of the L.A.P.D. uncovers both the operations of a sadistic killer and a political conspiracy.;27.99;10
THE DROPS OF GOD, VOL. 4;2012-07-15;Tadashi Agi;In this series, the son of a wine critic who must identify 12 wines in order to claim an inheritance.;14.95;1
THE DRYBAR GUIDE TO GOOD HAIR FOR ALL;2016-11-06;Alli Webb;A handbook for hair-styling and blowouts at home, by the founder of the Drybar chain of hair care salons.;nan;0
THE DUCHESS;2017-07-16;Danielle Steel;A 19th-century British duke's daughter, disinherited by her half brothers, flees to Paris to make an unconventional new life.;nan;2
THE DUCKLING GETS A COOKIE!?;2012-04-22;Mo Willems;The duckling asks for a cookie — and gets one. Do you think the pigeon is happy about that?;15.99;11
THE DUFF;2015-03-08;Kody Keplinger;A girl falls for the guy she thought she hated more than anyone.;nan;4
THE DUKAN DIET;2011-05-08;Pierre Dukan;A program that rejects calorie counting and assigns protein a major role.;26.0;25
THE DUTCH HOUSE;2019-10-13;Ann Patchett;A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.;nan;2
THE EARL AND THE FAIRY, VOL. 2;2012-07-01;Ayuko;Lydia Carlton, who is interested in fairy lore, meets Edgar, who is seeking a mystical sword that may be his birthright.;9.99;1
THE EARTH BOOK;2010-05-09;Todd Parr;Ideas for saving the planet, plus a poster.;9.99;1
THE EASTER EGG;2010-02-28;Jan Brett;A story of kindness and the hatching of spring.;17.99;22
THE EBOLA SURVIVAL HANDBOOK;2014-11-02;Joseph Alton;How the virus spreads and how to minimize risks.;nan;0
THE ECHO FROM DEALEY PLAZA;2016-07-03;Abraham Bolden;The first African American on the White House Secret Service detail and his quest for justice after the assassination of John F. Kennedy.;nan;0
THE EDGE OF ALWAYS;2013-11-24;J A Redmerski;"A sequel to ""The Edge of Never"" finds Camryn and Andrew about to embark on a new journey to save their relationship.";nan;1
THE EDGE OF NEVER;2012-12-23;JA Redmerski;A woman impulsively boards a Greyhound bus to start everything afresh, and meets a man with a dark secret.;nan;3
THE EDUCATION OF AN IDEALIST;2019-09-29;Samantha Power;The Pulitzer Prize-winning author's journey from being an immigrant to being an activist outsider to serving in President Obama’s cabinet.;nan;1
THE EIGHTY-DOLLAR CHAMPION;2013-06-02;Elizabeth Letts;The story of Snowman the horse, the extraordinary jumper and national celebrity.;nan;4
THE ELITE;2013-05-12;Kiera Cass;The group of potential princesses narrows | a sequel to “The Selection.” ;nan;1
THE ELUSIVE BRIDE;2010-02-14;Stephanie Laurens;A former officer of the Crown, a love-struck lady, a deadly assassin | part of the Black Cobra Quartet.;7.99;1
THE EMERALD ATLAS;2011-04-24;John Stephens;Three siblings discover a mysterious book that unlocks a powerful prophecy.;17.99;3
THE EMMAUS CODE;2015-11-29;David Limbaugh;nan;nan;1
THE EMPEROR OF ALL MALADIES;2015-04-19;Siddhartha Mukherjee;An oncologist’s history of cancer and its treatment.;nan;21
THE EMPEROR'S REVENGE;2016-06-19;Clive Cussler and Boyd Morrison;Juan Cabrillo teams up with a former C.I.A. colleague to thwart a plan involving the death of millions and international economic meltdown.;nan;2
THE EMPTY CITY;2012-09-09;Erin Hunter;Lucky has always been a lone dog, but he must learn a new way when his world is turned upside down.;16.99;3
THE EMPTY THRONE;2015-01-25;Bernard Cornwell;Rivals clash over succession when the king of Mercia in 10th-century Britain dies without an heir | the eighth volume of the Saxon Tales.;nan;1
THE ENCYCLOPEDIA OF EARLY EARTH;2014-01-05;Isabel Greenberg;A young man from the North Pole travels across an imaginary, prehistoric Earth all the way to the South Pole, where he meets his true love.;nan;6
THE END GAME;2015-10-04;Catherine Coulter and J T Ellison;The F.B.I. agent Nicholas Drummond and his partner, Mike Caine, investigate a violent environmental group with the help of the C.I.A. and Mossad.;nan;1
THE END OF DIABETES;2013-02-03;Joel Fuhrman;The author explains how to prevent and reverse diabetes.;26.99;3
THE END OF DIETING;2014-04-13;Joel Fuhrman;nan;nan;1
THE END OF ILLNESS;2012-02-05;David B Agus with Kristin Loberg;With a blend of storytelling, research and ideas, a cancer doctor challenges perceptions about what “health” means.;26.0;8
THE END OF NORMAL;2011-11-06;Stephanie Madoff Mack;A memoir from the widow of Bernard L. Madoff’s son Mark, who committed suicide after helping to turn his father in to the authorities.;nan;2
THE END OF THE LINE;2013-01-06;Glenn Thrush and Jonathan Martin;"The fourth and last e-book in Politico's ""Playbook 2012"""" series on the presidential election chronicles the final 34 days of the Obama and Romney campaigns.";nan;1
THE ENGLISH GIRL;2013-08-04;Daniel Silva;Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, steps in to help the British prime minister, whose lover has been kidnapped. ;nan;3
THE ENGLISH SPY;2015-07-19;Daniel Silva;Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, helps British intelligence track down the killer of a beautiful former member of the royal family.;nan;4
THE ENTREPRENEUR EQUATION;2011-04-10;Carol Roth;Evaluating the realities, risks and rewards of having your own business.;24.95;1
THE ESCAPE;2014-07-20;Mary Balogh;After the Napoleonic wars, a hopeful widow and a resilient war hero discover the promise of love’s magic and new beginnings.;nan;7
THE ESCAPE ARTIST;2018-03-25;Brad Meltzer;Nola Brown, a painter and trained soldier, discovers a military secret that traces back to Harry Houdini.;nan;2
THE EVERYDAY SUPERMODEL;2015-02-01;Molly Sims;A practical guide to grooming and cosmetics, hair styles and wardrobe choices that flatter, and strategies to combat the signs of aging.;nan;0
THE EVERYGIRL'S GUIDE TO DIET AND FITNESS;2014-06-22;Maria Menounos;nan;nan;1
THE EVERYGIRL'S GUIDE TO LIFE;2011-05-01;Maria Menounos;The TV star’s tips for success, prosperity and health.;19.99;4
THE EXILE: AN OUTLANDER GRAPHIC NOVEL;2010-10-10;Diana Gabaldon and Hoang Nguyen;The story of Jamie Fraser, a kilt-wearing 18th-century Scotsman, and Claire Randall, a World War II-era nurse who has been transported back in time, is retold in the graphic novel format.;25.0;19
THE EXILED QUEEN;2010-10-17;Cinda Williams Chima;A tale of heroes, wizards, stolen amulets and forced marriages.;17.99;1
THE EYE OF GOD;2014-02-16;James Rollins;As the end of the world looms, Cmdr. Gray Pierce and Sigma Force race to unravel a mystery tied to the fall of the Roman Empire.;nan;3
THE EYE OF HEAVEN;2014-09-21;Clive Cussler and Russell Blake;The treasure hunters Sam and Remi Fargo discover a Viking ship in the Arctic ice, full of artifacts from pre-Columbian Mexico.;nan;3
THE EYE OF MOLOCH;2013-06-30;Glenn Beck;Continuing the fight to save America begun in “The Overton Window.”;nan;1
