title;published_date;author;description;price;weeks_on_list
ABOVE THE LINE;2015-11-01;Urban Meyer with Wayne Coffey;nan;nan;1
ABRAHAM LINCOLN: VAMPIRE HUNTER;2010-03-21;Seth Grahame-Smith;Lincoln fights the undead | by the author of “Pride and Prejudice and Zombies.;21.99;17
ABSOLUTE ALL-STAR SUPERMAN;2010-11-28;Grant Morrison and Frank Quitely;"This lavish hardcover collects the 12-issue run of ""All-Star Superman,"" along with a bonus sketch section. The Man of Steel faces Bizarro, a couple who survived Krypton’s destruction and... his death?";99.99;1
ABSOLUTE BATMAN & ROBIN: BATMAN REBORN;2013-02-03;Grant Morrison and others;Dick Grayson and Damian Wayne, the son of Bruce Wayne, take over as Batman and Robin and must face the Joker as well as the return of the original Dark Knight.;99.99;1
ABSOLUTE SANDMAN, VOL. 5;2011-11-27;Neil Gaiman and others;"More stories about the prince of dreams and his family, including ""Endless Nights,"" ""Dream Hunters"" and a team-up with the golden age Sandman.";99.99;1
ABSOLUTE TOP 10;2013-06-23;Alan Moore and Gene Ha;"This is ""N.Y.P.D. Blue,"" if the police and criminals had super-powers.";nan;1
ABUNDANCE;2012-03-11;Peter H Diamandis and Steven Kotler;An entrepreneur argues that innovations in water, food, energy, health care, education and freedom will solve society’s biggest problems.;26.99;1
ABUSE OF POWER;2011-10-02;Michael Savage;A former war correspondent works to expose a terrorist group and a plot at the highest levels of power.;25.99;1
ACCESSORY TO WAR;2018-10-07;Neil deGrasse Tyson and Avis Lang;nan;nan;0
ACCIDENTAL HEROES;2018-04-08;Danielle Steel;Strangers pull together to avert a disaster involving two flights from New York to San Francisco.;nan;2
ACCIDENTAL SAINTS;2015-10-04;Nadia Bolz-Weber;A comic turned pastor documents encounters with grace and finding divinity in unlikely places.;nan;0
ACID FOR THE CHILDREN;2019-11-24;Flea;A memoir by the bassist and a founding member of the Red Hot Chili Peppers.;nan;1
ACT LIKE A LADY, THINK LIKE A MAN;2010-02-14;Steve Harvey with Denene Millner;Tips on relationships from the comedian and host of “The Steve Harvey Morning Show.”;23.99;57
ACT LIKE A SUCCESS, THINK LIKE A SUCCESS;2014-09-28;Steve Harvey;nan;nan;4
ACT OF WAR;2014-07-27;Brad Thor;The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.;nan;2
ACTION COMICS, VOL. 2;2013-05-26;Grant Morrison and Rags Morales;More brilliance from Mr. Morrison: the death of Clark Kent, President Obama as Superman, and the boy who finds Superman's cape.;nan;3
ACTION COMICS: SUPERMAN AND THE MEN OF STEEL;2012-08-26;Grant Morrison and others;"The earliest days of Superman are revisited in this flagship series that is part of the ""New 52"" initiative from DC Comics.";24.99;4
ACTIVATE YOUR GOODNESS;2013-03-24;Shari Arison;A practical guide for doing good for yourself and others. ;14.95;1
ADA TWIST, SCIENTIST;2016-09-25;Andrea Beaty;A girl emerges from her crib with a love of science.;nan;43
